1,523,205,2432,-358,41,-4784,657.04,-52.76,2312.2,-441.92,94.36,-4607.76,0.254774196,-0.721230395,-0.251244263,-0.281873755,0.28958621,0.638186965
1,484,31,2234,-368,130,-4790,602.962963,-64.18518519,2307.925926,-364.3333333,103.037037,-4490.222222,0.090765934,-0.279148908,-0.375713271,0.769703104,-0.517854303,1.499694907
1,-535,632,-2987,27,190,-4652,-951.7419355,2027.387097,-2256.322581,-378.1612903,91.4516129,-3599.258065,-0.558883578,0.546992866,1.151508028,-0.925298095,-0.421957363,2.334118935
1,-16,112,-559,-68,38,-4818,-81.19354839,517.5806452,-479.6451613,-165.2258065,-34.41935484,-3941.419355,-0.50003022,0.914179023,0.43521987,-0.774351492,-0.670124507,2.714436632
2,1171,-721,-446,94,117,-4775,618.9130435,-718.9130435,-474.6956522,59.91304348,98.65217391,-4811.782609,-0.618787861,0.001643539,-0.45148307,-0.191859874,-0.147515601,-0.392641301
2,459,-1259.5,1621,-227,109.5,-4827,125.1071429,-1224.678571,1666.392857,-52.5,101.0357143,-4193.75,-1.158418131,0.025419591,0.091892005,0.784553919,-0.056230707,2.569231673
2,773.5,-1140.5,-796.5,-153,14,-4853,360.3076923,-526.5,-724.3846154,-89.07692308,120.6923077,-4560.423077,-0.485381141,0.489930422,0.506854979,0.329868684,0.602085077,2.202485459
2,820,-1357.5,245,-149.5,12.5,-4804,556.3571429,-1302.5,273.7142857,60.46428571,105.5,-4221.178571,-0.341423978,0.038169377,0.315869436,0.783422395,0.519976722,2.870823057
3,-526,669,-1229,-108,-24,-4912,-469.6190476,529.6666667,-1062.52381,-349.047619,-107.4285714,-4792.619048,0.061555819,-0.123167913,0.855081165,-0.656282923,-0.220949956,0.584971323
3,-2451,1563,-980,-188,30,-4883,-1046.130435,1261.478261,-831.9565217,-223.6956522,90.08695652,-4804.304348,1.1833443,-0.191690102,0.571045549,-0.137113133,0.43255127,0.451876225
3,-1137,1040,-2496,67,154,-4869,-653.1481481,348.3333333,-2479.518519,-180.9259259,39.59259259,-4091,0.427066789,-0.832398216,0.029356646,-0.734916777,-0.268572655,1.918094792
3,176,861,3232,-195,147,-4794,216.7407407,500.7037037,3100.148148,-265.5185185,99.7037037,-4223.148148,0.134013579,-0.418103039,-0.175592035,-0.457141333,-0.551111649,1.8565272
4,-626,-550,-38,-160,80,-4752,-349.7407407,-901.5925926,-20.96296296,85.77777778,30.22222222,-4227.407407,0.570783541,-0.320094658,0.34373969,0.838961196,-0.2364749,1.963685367
4,652,1773,-250,468,103,-4702.5,-82.27777778,1038.222222,-257.0555556,420.4444444,-237.4444444,-4995.055556,-0.729038508,-0.485635903,-0.113664567,-0.152664242,-0.723267573,-0.80022578
4,581,-80,-6207,-4,124,-4783,819.1538462,-599.5384615,-5848.461538,193.8846154,166.0769231,-4612.961538,0.290265107,-0.387167944,0.379743306,0.512941371,0.395331759,0.993792289
4,-444,433,4224,-23,126,-4842,-149.8076923,475.9615385,4323.5,-213.1538462,-15.11538462,-4589.038462,0.614011055,0.06176911,0.109901734,-1.521366725,-0.519523051,1.545009809
